AN_BASE;NM_GRANDE_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;NM_SUBAREA_CONHECIMENTO;NM_ESPECIALIDADE;CD_AREA_AVALIACAO;NM_AREA_AVALIACAO;CD_ENTIDADE_CAPES;CD_ENTIDADE_EMEC;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;CS_STATUS_JURIDICO;DS_DEPENDENCIA_ADMINISTRATIVA;DS_ORGANIZACAO_ACADEMICA;NM_REGIAO;NM_MUNICIPIO_PROGRAMA_IES;NM_MODALIDADE_PROGRAMA;CD_PROGRAMA_IES;NM_PROGRAMA_IES;NM_PROGRAMA_IDIOMA;SG_UF_PROGRAMA;NM_GRAU_PROGRAMA;CD_CONCEITO_PROGRAMA;ANO_INICIO_PROGRAMA;AN_INICIO_CURSO;IN_REDE;SG_ENTIDADE_ENSINO_REDE;DS_SITUACAO_PROGRAMA;DT_SITUACAO_PROGRAMA;ID_ADD_FOTO_PROGRAMA_IES;ID_ADD_FOTO_PROGRAMA;DS_CLIENTELA_QUADRIENAL_2017
2016;CIÊNCIAS HUMANAS;EDUCAÇÃO;NÃO SE APLICA;NÃO SE APLICA;38;EDUCAÇÃO;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;PORTO VELHO;PROFISSIONAL;10001018016P2;EDUCAÇÃO ESCOLAR;PROFESSIONAL MASTERS OF SCHOOL EDUCATION;RO;MESTRADO PROFISSIONAL;3;2014;2014;NÃO;NA;EM FUNCIONAMENTO;10APR2013:00:00:00;121952;58004;AVALIAÇÃO
2016;MULTIDISCIPLINAR;CIÊNCIAS AMBIENTAIS;NÃO SE APLICA;NÃO SE APLICA;49;CIÊNCIAS AMBIENTAIS;10001018;699;UNIR;UNIVERSIDADE FEDERAL DE RONDÔNIA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;ROLIM DE MOURA;ACADÊMICO;10001018017P9;CIÊNCIAS AMBIENTAIS;ENVIRONMENTAL SCIENCES;RO;MESTRADO;3;2013;2013;NÃO;NA;EM FUNCIONAMENTO;29NOV2013:00:00:00;122494;58495;AVALIAÇÃO
2016;CIÊNCIAS BIOLÓGICAS;ECOLOGIA;NÃO SE APLICA;NÃO SE APLICA;7;BIODIVERSIDADE;11001011;549;UFAC;UNIVERSIDADE FEDERAL DO ACRE;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RIO BRANCO;ACADÊMICO;11001011001P8;ECOLOGIA E MANEJO DE RECURSOS NATURAIS;ECOLOGY AND NATURAL RESOUCE MANAGEMENT;AC;MESTRADO;3;1996;1996;NÃO;NA;EM FUNCIONAMENTO;07JUN2013:00:00:00;123703;59596;AVALIAÇÃO
2016;LINGÜÍSTICA, LETRAS E ARTES;LETRAS;NÃO SE APLICA;NÃO SE APLICA;41;LETRAS / LINGUÍSTICA;11001011;549;UFAC;UNIVERSIDADE FEDERAL DO ACRE;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RIO BRANCO;ACADÊMICO;11001011003P0;LETRAS- LINGUAGEM E IDENTIDADE;LETTERS - LINGUAGE AND IDENTITY;AC;MESTRADO;3;2006;2006;NÃO;NA;EM FUNCIONAMENTO;30JAN2013:00:00:00;125523;61108;AVALIAÇÃO
2016;CIÊNCIAS AGRÁRIAS;AGRONOMIA;NÃO SE APLICA;NÃO SE APLICA;42;CIÊNCIAS AGRÁRIAS I;11001011;549;UFAC;UNIVERSIDADE FEDERAL DO ACRE;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RIO BRANCO;ACADÊMICO;11001011004P7;PRODUÇÃO VEGETAL;VEGETABLE PRODUCTION;AC;MESTRADO/DOUTORADO;3;2006;2006/2014;NÃO;NA;EM FUNCIONAMENTO;30JAN2013:00:00:00;124892;60579;AVALIAÇÃO
2016;CIÊNCIAS DA SAÚDE;SAÚDE COLETIVA;NÃO SE APLICA;NÃO SE APLICA;22;SAÚDE COLETIVA;11001011;549;UFAC;UNIVERSIDADE FEDERAL DO ACRE;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RIO BRANCO;ACADÊMICO;11001011005P3;SAÚDE COLETIVA;MASTER IN PUBLIC HEALTH;AC;MESTRADO/DOUTORADO;4;2008;2008/2016;SIM;FIOCRUZ;EM FUNCIONAMENTO;06MAR2014:00:00:00;123922;59809;AVALIAÇÃO
2016;MULTIDISCIPLINAR;INTERDISCIPLINAR;MEIO AMBIENTE E AGRÁRIAS;NÃO SE APLICA;45;INTERDISCIPLINAR;11001011;549;UFAC;UNIVERSIDADE FEDERAL DO ACRE;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RIO BRANCO;ACADÊMICO;11001011006P0;CIÊNCIA, INOVAÇÃO E TECNOLOGIA PARA A AMAZÔNIA;SCIENCE, TECHNOLOGY AND INNOVATION FOR THE AMAZON;AC;MESTRADO;3;2011;2011;NÃO;NA;EM FUNCIONAMENTO;11JAN2013:00:00:00;123855;59728;AVALIAÇÃO
2016;MULTIDISCIPLINAR;ENSINO;ENSINO DE CIÊNCIAS E MATEMÁTICA;NÃO SE APLICA;46;ENSINO;11001011;549;UFAC;UNIVERSIDADE FEDERAL DO ACRE;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RIO BRANCO;PROFISSIONAL;11001011007P6;ENSINO DE CIÊNCIAS E MATEMÁTICA;PROFESSIONAL MASTER IN TEACHING SCIENCE AND MATHEMATICS;AC;MESTRADO PROFISSIONAL;3;2014;2014;NÃO;NA;EM FUNCIONAMENTO;12DEC2013:00:00:00;122706;58710;AVALIAÇÃO
2016;CIÊNCIAS AGRÁRIAS;MEDICINA VETERINÁRIA;NÃO SE APLICA;NÃO SE APLICA;24;MEDICINA VETERINÁRIA;11001011;549;UFAC;UNIVERSIDADE FEDERAL DO ACRE;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RIO BRANCO;ACADÊMICO;11001011008P2;SANIDADE E PRODUÇÃO ANIMAL SUSTENTÁVEL NA AMAZÔNIA OCIDENTAL;HEALTH AND SUSTAINABLE ANIMAL PRODUCTION IN THE WESTERN AMAZON;AC;MESTRADO/DOUTORADO;4;2014;2014/2017;SIM;"UNIR;EMBRAPA-CPAFAC";EM FUNCIONAMENTO;01NOV2013:00:00:00;123821;59710;AVALIAÇÃO
2016;CIÊNCIAS HUMANAS;EDUCAÇÃO;NÃO SE APLICA;NÃO SE APLICA;38;EDUCAÇÃO;11001011;549;UFAC;UNIVERSIDADE FEDERAL DO ACRE;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RIO BRANCO;ACADÊMICO;11001011009P9;EDUCAÇÃO;EDUCACION;AC;MESTRADO;3;2014;2014;NÃO;NA;EM FUNCIONAMENTO;21JUL2014:00:00:00;123207;59156;AVALIAÇÃO
2016;CIÊNCIAS DA SAÚDE;MEDICINA;ANATOMIA PATOLÓGICA E PATOLOGIA CLÍNICA;NÃO SE APLICA;16;MEDICINA II;11001011;549;UFAC;UNIVERSIDADE FEDERAL DO ACRE;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RIO BRANCO;ACADÊMICO;11001011070P0;CIÊNCIAS DA SAÚDE NA AMAZÔNIA OCIDENTAL;HEALTH SCIENCES IN THE WESTERN AMAZON;AC;MESTRADO;3;2016;2016;NÃO;NA;EM FUNCIONAMENTO;05AUG2015:00:00:00;125118;60770;ACOMPANHAMENTO
2016;CIÊNCIAS AGRÁRIAS;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL;NÃO SE APLICA;NÃO SE APLICA;42;CIÊNCIAS AGRÁRIAS I;11001011;549;UFAC;UNIVERSIDADE FEDERAL DO ACRE;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;RIO BRANCO;ACADÊMICO;11001011071P6;CIÊNCIA FLORESTAL;FOREST SCIENCE MASTER;AC;MESTRADO;3;2016;2016;NÃO;NA;EM FUNCIONAMENTO;10FEB2016:00:00:00;123788;59679;ACOMPANHAMENTO
2016;CIÊNCIAS HUMANAS;EDUCAÇÃO;NÃO SE APLICA;NÃO SE APLICA;38;EDUCAÇÃO;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015001P0;EDUCAÇÃO;EDUCATION;AM;MESTRADO/DOUTORADO;4;1987;1987/2010;NÃO;NA;EM FUNCIONAMENTO;25MAR2011:00:00:00;124880;60567;AVALIAÇÃO
2016;CIÊNCIAS EXATAS E DA TERRA;QUÍMICA;QUÍMICA ORGÂNICA;QUÍMICA DOS PRODUTOS NATURAIS;4;QUÍMICA;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015002P7;QUÍMICA;POSTGRADUATE PROGRAM OF THE CHEMISTRY;AM;MESTRADO/DOUTORADO;4;1987;1987/2007;NÃO;NA;EM FUNCIONAMENTO;13JUN2013:00:00:00;124324;60123;AVALIAÇÃO
2016;CIÊNCIAS AGRÁRIAS;AGRONOMIA;NÃO SE APLICA;NÃO SE APLICA;42;CIÊNCIAS AGRÁRIAS I;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015003P3;AGRONOMIA TROPICAL;TROPICAL AGRONOMY;AM;MESTRADO/DOUTORADO;4;1995;1995/2007;NÃO;NA;EM FUNCIONAMENTO;01JUN2010:00:00:00;122755;58732;AVALIAÇÃO
2016;CIÊNCIAS EXATAS E DA TERRA;FÍSICA;NÃO SE APLICA;NÃO SE APLICA;3;ASTRONOMIA / FÍSICA;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015006P2;FÍSICA;GRADUATE PROGRAM IN PHYSICS;AM;MESTRADO/DOUTORADO;3;1999;1999/2016;NÃO;NA;EM FUNCIONAMENTO;12APR2013:00:00:00;120974;57076;AVALIAÇÃO
2016;MULTIDISCIPLINAR;CIÊNCIAS AMBIENTAIS;NÃO SE APLICA;NÃO SE APLICA;49;CIÊNCIAS AMBIENTAIS;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015007P9;CIÊNCIAS DO AMBIENTE E SUSTENTABILIDADE NA AMAZÔNIA;SCIENCE OF ENVIRONMENT AND SUSTAINABILITY IN THE AMAZON;AM;MESTRADO/DOUTORADO;4;2000;2000/2011;NÃO;NA;EM FUNCIONAMENTO;28APR2013:00:00:00;121457;57523;AVALIAÇÃO
2016;CIÊNCIAS EXATAS E DA TERRA;GEOCIÊNCIAS;NÃO SE APLICA;NÃO SE APLICA;5;GEOCIÊNCIAS;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015008P5;GEOCIÊNCIAS;GEOSCIENCES;AM;MESTRADO;3;2000;2000;NÃO;NA;EM FUNCIONAMENTO;08MAR2013:00:00:00;123343;59257;AVALIAÇÃO
2016;ENGENHARIAS;ENGENHARIA DE PRODUÇÃO;NÃO SE APLICA;NÃO SE APLICA;13;ENGENHARIAS III;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;PROFISSIONAL;12001015009P1;ENGENHARIA DE PRODUÇÃO;PRODUCTION MANAGEMENT;AM;MESTRADO PROFISSIONAL;3;1999;1999;NÃO;NA;EM FUNCIONAMENTO;30MAY2012:00:00:00;125434;61045;AVALIAÇÃO
2016;CIÊNCIAS EXATAS E DA TERRA;CIÊNCIA DA COMPUTAÇÃO;NÃO SE APLICA;NÃO SE APLICA;2;CIÊNCIA DA COMPUTAÇÃO;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015012P2;INFORMÁTICA;INFORMATICS;AM;MESTRADO/DOUTORADO;5;2001;2001/2008;NÃO;NA;EM FUNCIONAMENTO;06JUN2013:00:00:00;123713;59646;AVALIAÇÃO
2016;MULTIDISCIPLINAR;BIOTECNOLOGIA;NÃO SE APLICA;NÃO SE APLICA;48;BIOTECNOLOGIA;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015013P9;BIOTECNOLOGIA;BIOTECHNOLOGY;AM;MESTRADO/DOUTORADO;4;2001;2003/2001;NÃO;NA;EM FUNCIONAMENTO;03APR2012:00:00:00;122566;58550;AVALIAÇÃO
2016;MULTIDISCIPLINAR;INTERDISCIPLINAR;SOCIAIS E HUMANIDADES;NÃO SE APLICA;45;INTERDISCIPLINAR;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015014P5;SOCIEDADE E CULTURA NA AMAZÔNIA;SOCIETY AND CULTURE OF AMAZONIA;AM;MESTRADO/DOUTORADO;3;1998;1998/2008;NÃO;NA;EM FUNCIONAMENTO;13MAR2013:00:00:00;121885;57918;AVALIAÇÃO
2016;CIÊNCIAS EXATAS E DA TERRA;MATEMÁTICA;NÃO SE APLICA;NÃO SE APLICA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015015P1;MATEMÁTICA;GRADUATE PROGRAM IN MATHEMATICS;AM;MESTRADO;4;1998;1998;NÃO;NA;EM FUNCIONAMENTO;03DEC2013:00:00:00;122817;58811;AVALIAÇÃO
2016;CIÊNCIAS AGRÁRIAS;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL;NÃO SE APLICA;NÃO SE APLICA;42;CIÊNCIAS AGRÁRIAS I;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015016P8;CIÊNCIAS FLORESTAIS E AMBIENTAIS;FORESTRY AND ENVIRONMENTAL SCIENCES;AM;MESTRADO;3;2003;2003;NÃO;NA;EM FUNCIONAMENTO;28FEB2014:00:00:00;120956;57038;AVALIAÇÃO
2016;MULTIDISCIPLINAR;INTERDISCIPLINAR;SAÚDE E BIOLÓGICAS;NÃO SE APLICA;45;INTERDISCIPLINAR;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015018P0;SAÚDE, SOCIEDADE E ENDEMIAS NA AMAZÔNIA;HEALTH, SOCIETY AND ENDEMIC DISEASES IN THE AMAZON;AM;MESTRADO;3;2005;2005;NÃO;NA;EM FUNCIONAMENTO;06JUN2013:00:00:00;124193;60056;AVALIAÇÃO
2016;ENGENHARIAS;ENGENHARIA ELÉTRICA;NÃO SE APLICA;NÃO SE APLICA;14;ENGENHARIAS IV;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015021P1;ENGENHARIA ELÉTRICA;GRADUATE PROGRAM IN ELECTRICAL ENGINEERING;AM;MESTRADO;3;2005;2005;NÃO;NA;EM FUNCIONAMENTO;01JUN2010:00:00:00;122239;58247;AVALIAÇÃO
2016;ENGENHARIAS;ENGENHARIA CIVIL;NÃO SE APLICA;NÃO SE APLICA;10;ENGENHARIAS I;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015022P8;ENGENHARIA CIVIL;CIVIL ENGINEERING;AM;MESTRADO;3;2006;2006;NÃO;NA;EM FUNCIONAMENTO;10MAR2014:00:00:00;124170;60037;AVALIAÇÃO
2016;CIÊNCIAS HUMANAS;HISTÓRIA;NÃO SE APLICA;NÃO SE APLICA;40;HISTÓRIA;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015023P4;HISTÓRIA;HISTORY;AM;MESTRADO;3;2006;2006;NÃO;NA;EM FUNCIONAMENTO;16FEB2014:00:00:00;125032;60724;AVALIAÇÃO
2016;CIÊNCIAS HUMANAS;SOCIOLOGIA;NÃO SE APLICA;NÃO SE APLICA;34;SOCIOLOGIA;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015024P0;SOCIOLOGIA;SOCIOLOGY;AM;MESTRADO;3;2007;2007;NÃO;NA;EM FUNCIONAMENTO;07AUG2010:00:00:00;123736;59627;AVALIAÇÃO
2016;CIÊNCIAS AGRÁRIAS;RECURSOS PESQUEIROS E ENGENHARIA DE PESCA;NÃO SE APLICA;NÃO SE APLICA;23;ZOOTECNIA / RECURSOS PESQUEIROS;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015025P7;CIÊNCIAS PESQUEIRAS NOS TRÓPICOS;FISHERIES SCIENCES AT THE TROPICS;AM;MESTRADO/DOUTORADO;3;2007;2007/2007;NÃO;NA;EM FUNCIONAMENTO;07AUG2010:00:00:00;122042;58070;AVALIAÇÃO
2016;CIÊNCIAS HUMANAS;GEOGRAFIA;NÃO SE APLICA;NÃO SE APLICA;36;GEOGRAFIA;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015026P3;GEOGRAFIA;GRADUATE PROGRAM IN GEOGRAPHY;AM;MESTRADO;4;2007;2007;NÃO;NA;EM FUNCIONAMENTO;20JAN2014:00:00:00;124725;60419;AVALIAÇÃO
2016;CIÊNCIAS SOCIAIS APLICADAS;SERVIÇO SOCIAL;NÃO SE APLICA;NÃO SE APLICA;32;SERVIÇO SOCIAL;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015027P0;SERVIÇO SOCIAL;POST GRADUATE PROGRAM IN SOCIAL WORK AND SUSTAINABILITY IN AMAZONIA;AM;MESTRADO;3;2007;2007;NÃO;NA;EM FUNCIONAMENTO;24JUL2013:00:00:00;122682;58682;AVALIAÇÃO
2016;CIÊNCIAS HUMANAS;ANTROPOLOGIA;NÃO SE APLICA;NÃO SE APLICA;35;ANTROPOLOGIA / ARQUEOLOGIA;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015029P2;ANTROPOLOGIA SOCIAL;SOCIAL ANTHROPOLOGY;AM;MESTRADO/DOUTORADO;4;2008;2008/2010;NÃO;NA;EM FUNCIONAMENTO;21MAR2013:00:00:00;123499;59412;AVALIAÇÃO
2016;CIÊNCIAS SOCIAIS APLICADAS;COMUNICAÇÃO;NÃO SE APLICA;NÃO SE APLICA;31;COMUNICAÇÃO E INFORMAÇÃO;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015032P3;CIÊNCIAS DA COMUNICAÇÃO;COMMUNICATION SCIENCES;AM;MESTRADO;3;2008;2008;NÃO;NA;EM FUNCIONAMENTO;20DEC2012:00:00:00;122660;58661;AVALIAÇÃO
2016;CIÊNCIAS DA SAÚDE;FARMÁCIA;NÃO SE APLICA;NÃO SE APLICA;19;FARMÁCIA;12001015;4;UFAM;UNIVERSIDADE FEDERAL DO AMAZONAS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;MANAUS;ACADÊMICO;12001015033P0;CIÊNCIAS FARMACÊUTICAS;PHARMACEUTICAL SCIENCES;AM;MESTRADO;3;2009;2009;NÃO;NA;EM FUNCIONAMENTO;21MAR2013:00:00:00;124845;60536;AVALIAÇÃO
